,c0,c2,c4,c9,c10,c13,c14,c15,c16,c31,c89,c90,c91,c92,c93,c94,ymd,next_month_day1,next_month_day2,filename,dt_rank_neg
71816,9,180065250,救急医療管理加算１（診療報酬上臨時的取扱）（外来診療）,,3.0,,,,,,1,1,999,0,0,1,2021-09-28,2021-10-01,2021-10-02,s_20210930.csv,1.0
71817,9,180065370,乳幼児加算（救急医療管理加算・臨時的取扱）（外来診療）,,3.0,,,,,,1,1,999,0,0,1,2021-09-28,2021-10-01,2021-10-02,s_20210930.csv,1.0
71818,9,180065470,小児加算（救急医療管理加算・臨時的取扱）（外来診療）,,3.0,,,,,,1,1,999,0,0,1,2021-09-28,2021-10-01,2021-10-02,s_20210930.csv,1.0
94869,9,180065650,救急医療管理加算１（診療報酬上臨時的取扱）（ＣＯＶ・往診等）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
94870,9,180065750,救急医療管理加算１（診療報酬上臨時的取扱）（往診等・中和抗体薬）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
94871,9,180065850,救急医療管理加算１（診療報酬上臨時的取扱）（ＣＯＶ・外来診療）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
94872,9,180065950,救急医療管理加算１（診療報酬上臨時的取扱）（外来・中和抗体薬）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
94873,9,180066050,長時間精神科訪問看護・指導加算（診療報酬上臨時的取扱）,,3.0,,,,,,2,8,12,0,5,2,2023-05-08,2023-06-01,2023-06-02,s_20230424.csv,1.0
94874,9,180066170,乳幼児加算（救急医療管理加算・臨時的取扱）（外来診療・往診等）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
94875,9,180066270,小児加算（救急医療管理加算・臨時的取扱）（外来診療・往診等）,,3.0,,,,,,1,1,999,0,0,1,2023-06-01,2023-07-01,2023-07-02,s_20230424.csv,1.0
113391,5,180066370,リハビリテーションデータ提出加算,,3.0,,,,,,2,7,0,0,6,0,2024-06-21,2024-07-01,2024-07-02,s_20240621.csv,1.0
121637,0,180066870,摂食嚥下機能回復体制加算２,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,7,4,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121638,0,180066970,摂食嚥下機能回復体制加算３,,3.0,0.0,0.0,0.0,0.0,99999999.0,2,7,4,0,3,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
107020,9,180067070,療養生活継続支援加算,,3.0,,,,,,2,8,2,0,8,0,2024-06-01,2024-07-01,2024-07-02,s_20240306.csv,1.0
121639,0,180067110,通院精神療法（初診日に６０分以上）（（１）以外）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,2,0,1,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
121640,0,180067230,通院精神療法（初診日に６０分以上・要件減算）（（１）以外）,,3.0,0.0,800.0,0.0,0.0,99999999.0,2,8,2,0,9,0,2024-06-01,2024-07-01,2024-07-02,s_ALL20250801.csv,1.0
